year,month,origin,blend,roast_level,type,sales,unit_price
2015,10,Ethiopia,Single,medium,Seasonal,173.0,8.477059523809523
2015,10,Haiti,Single,dark,Seasonal,287.75,10.314400000000003
2015,10,Kenya,Single,medium,Seasonal,360.0,9.0
2015,10,"Kenya, Colombia",Blend,medium,Evergreen,753.5,8.582744186046511
2015,10,Mexico,Single,medium,Seasonal,250.25,8.765735632183906
2015,10,Panama,Single,light,Seasonal,1.75,0.0
2015,10,Papua New Guinea,Single,light,Seasonal,0.75,0.0
2015,10,Yemen,Single,medium,Seasonal,1.5,0.0
2015,10,Zambia,Single,dark,Seasonal,19.25,9.222
2015,11,Brazil,Single,dark,Seasonal,1178.0,8.899908771929828
2015,11,Colombia,Single,dark,Evergreen,639.5,10.369689393939392
2015,11,Colombia,Single,medium,Seasonal,245.0,9.1
2015,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2271.25,11.932917257683217
2015,11,Ethiopia,Single,medium,Evergreen,321.0,8.733666666666668
2015,11,Ethiopia,Single,medium,Seasonal,352.5,8.168222222222223
2015,11,Haiti,Single,dark,Seasonal,348.5,10.083875
2015,11,Kenya,Single,medium,Seasonal,296.75,6.461538461538462
2015,11,"Kenya, Colombia",Blend,medium,Evergreen,583.75,7.788795698924731
2015,11,Mexico,Single,medium,Seasonal,301.0,9.431950617283952
2015,11,Panama,Single,light,Seasonal,18.0,7.38095238095238
2015,11,Papua New Guinea,Single,light,Seasonal,5.25,2.333333333333333
2015,11,Sumatra,Single,dark,Seasonal,20.0,0.0
2015,11,Zambia,Single,dark,Seasonal,6.75,12.057777777777778
2015,12,Brazil,Single,dark,Seasonal,887.75,8.16921951219512
2015,12,Colombia,Single,dark,Evergreen,598.75,11.018905349794238
2015,12,Colombia,Single,medium,Seasonal,195.0,9.099999999999998
2015,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,2694.25,12.549087048832279
2015,12,Ethiopia,Single,medium,Evergreen,363.5,10.342461538461539
2015,12,Ethiopia,Single,medium,Seasonal,294.0,10.644011494252869
2015,12,Haiti,Single,dark,Seasonal,26.25,9.941851851851851
2015,12,Kenya,Single,medium,Seasonal,341.25,7.672499999999999
2015,12,"Kenya, Colombia",Blend,medium,Evergreen,641.5,9.419935483870967
2015,12,Mexico,Single,medium,Seasonal,432.0,10.299525641025639
2015,12,Panama,Single,light,Seasonal,17.5,7.261904761904761
2015,12,Papua New Guinea,Single,light,Seasonal,12.0,5.353333333333334
