year,month,origin,blend,roast_level,type,sales,unit_price
2016,9,Ethiopia,Single,medium,Evergreen,12.75,0.0
2016,9,Ethiopia,Single,medium,Seasonal,624.75,0.0
2016,9,Guatemala,Single,medium,Seasonal,1453.75,0.0
2016,9,Kenya,Single,medium,Seasonal,509.25,0.0
2016,9,"Kenya, Colombia",Blend,medium,Evergreen,3.75,0.0
2016,9,Mexico,Single,medium,Seasonal,2480.0,0.0
2016,9,Myanmar,Single,medium,Seasonal,510.75,0.0
2016,9,Nicaragua,Single,medium,Seasonal,473.0,0.4073099415204678
2016,9,Panama,Single,light,Seasonal,79.0,0.0
2016,10,Brazil,Single,dark,Seasonal,3.0,0.0
2016,10,Colombia,Single,dark,Evergreen,23.25,0.0
2016,10,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,502.0,0.0
2016,10,Ethiopia,Single,medium,Evergreen,16.5,0.0
2016,10,Ethiopia,Single,medium,Seasonal,439.5,0.0
2016,10,Guatemala,Single,medium,Seasonal,1209.25,0.0
2016,10,Haiti,Single,dark,Seasonal,5.25,0.0
2016,10,Kenya,Single,medium,Seasonal,346.5,0.0
2016,10,"Kenya, Colombia",Blend,medium,Evergreen,4.5,0.0
2016,10,Mexico,Single,medium,Seasonal,2729.25,0.0
2016,10,Myanmar,Single,medium,Seasonal,378.75,0.0
2016,10,Nicaragua,Single,medium,Seasonal,299.25,0.0
2016,10,Panama,Single,light,Seasonal,100.0,0.5744144144144144
2016,10,Papua New Guinea,Single,light,Seasonal,3.0,0.0
2016,11,Brazil,Single,dark,Seasonal,148.5,0.42376811594202896
2016,11,Colombia,Single,dark,Evergreen,783.5,0.0
2016,11,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,730.25,0.0
2016,11,Ethiopia,Single,medium,Evergreen,137.25,0.0
2016,11,Ethiopia,Single,medium,Seasonal,576.0,0.0
2016,11,Guatemala,Single,medium,Seasonal,1219.25,0.0
2016,11,Haiti,Single,dark,Seasonal,634.5,0.0
2016,11,Kenya,Single,medium,Seasonal,4.5,0.0
2016,11,"Kenya, Colombia",Blend,medium,Evergreen,3.0,0.0
2016,11,Mexico,Single,medium,Seasonal,3155.25,0.0
2016,11,Myanmar,Single,medium,Seasonal,18.75,0.0
2016,11,Nicaragua,Single,medium,Seasonal,3.75,0.0
2016,11,Panama,Single,light,Seasonal,132.0,0.0
2016,11,Papua New Guinea,Single,light,Seasonal,1029.75,0.16183006535947714
2016,12,Brazil,Single,dark,Seasonal,516.75,0.234859437751004
2016,12,Colombia,Single,dark,Evergreen,455.25,0.0
2016,12,Colombia,Single,light,Seasonal,3.0,0.0
2016,12,"Colombia, Brazil, Ethiopia ",Blend,dark,Evergreen,909.0,0.44879432624113474
2016,12,Ethiopia,Single,medium,Evergreen,504.0,0.12852713178294572
2016,12,Ethiopia,Single,medium,Seasonal,443.25,0.0
2016,12,Guatemala,Single,medium,Seasonal,381.75,0.0
2016,12,Haiti,Single,dark,Seasonal,341.25,0.0
2016,12,Kenya,Single,medium,Seasonal,647.75,0.020833333333333332
2016,12,"Kenya, Colombia",Blend,medium,Evergreen,4.5,0.0
2016,12,Mexico,Single,medium,Seasonal,539.25,0.013888888888888888
2016,12,Nicaragua,Single,medium,Seasonal,3.75,0.0
2016,12,Panama,Single,light,Seasonal,152.5,0.0
2016,12,Papua New Guinea,Single,light,Seasonal,3240.5,0.05416195856873823
